gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,1,Blue,Top,Lindarang,ROX Tigers,Poppy,Jayce,Rengar,Lee Sin,46.4666666667,0,1,1,7,13,12,0,0,0,0,0,0,13.7238833333,0.0215208034,0.0215208034,0.5380200861,0,20.0583833333,0,4,0,0,0,0,0,0,0,0,,,0,18.0562333333,0,0,4,11,0,32.2174,0,2,18036,388.1492109039,0.1918356059,0.1933601943,31,0.6671449067,0.1557788945,1,0.0215208034,8,8,,,15512,205.9385939742,14600,-0.2928968138,363,0,0,0,7.8120516499,0.220113852,82,83,-1,3156,3139,17,4762,4900,-138,4509,4744,-235
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,2,Blue,Jungle,Seonghwan,ROX Tigers,Graves,Jayce,Rengar,Lee Sin,46.4666666667,0,1,3,6,13,12,0,0,0,0,0,0,13.7238833333,0.0215208034,0.0860832138,0.5380200861,0,20.0583833333,0,4,0,1,0,0,0,0,0,1,,,0,18.0562333333,0,0,4,11,0,32.2174,0,2,16967,365.143472023,0.1804654428,0.1747299422,43,0.9253945481,0.216080402,26,0.5595408895,13,15,,,14590,186.0964131994,14100,-0.1184320267,103,149,85,64,5.4232424677,0.160341556,47,39,8,2708,2800,-92,4359,4291,68,3001,2889,112
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,3,Blue,Middle,Mickey,ROX Tigers,Syndra,Jayce,Rengar,Lee Sin,46.4666666667,0,5,3,5,13,12,0,0,0,0,0,0,13.7238833333,0.1076040172,0.0215208034,0.5380200861,0,20.0583833333,0,4,0,1,0,0,0,0,0,0,,,0,18.0562333333,0,0,4,11,0,32.2174,0,2,25495,548.6728837877,0.2711714778,0.2668708855,26,0.5595408895,0.1306532663,9,0.193687231,4,4,,,19150,284.231276901,19250,-0.1796690307,462,17,14,3,10.3084648494,0.3102466793,94,92,2,3460,3439,21,5359,5199,160,4818,5160,-342
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,4,Blue,ADC,Sangyoon,ROX Tigers,Ashe,Jayce,Rengar,Lee Sin,46.4666666667,0,4,1,6,13,12,0,0,0,0,0,0,13.7238833333,0.0860832138,0.1076040172,0.5380200861,0,20.0583833333,0,4,0,1,0,0,0,0,0,0,,,0,18.0562333333,0,0,4,11,0,32.2174,0,2,14534,312.7833572453,0.1545874194,0.2423605863,14,0.3012912482,0.0703517588,8,0.1721664275,3,3,,,17937,258.1265423242,16825,-0.067924095,368,42,39,3,8.8235294118,0.2722960152,78,85,-7,3005,3199,-194,4747,4879,-132,2895,3080,-185
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,5,Blue,Support,Key,ROX Tigers,Malzahar,Jayce,Rengar,Lee Sin,46.4666666667,0,2,4,8,13,12,0,0,0,0,1,0,13.7238833333,0.0430416069,0.0215208034,0.5380200861,0,20.0583833333,0,4,0,0,0,0,0,0,0,0,,,0,18.0562333333,0,0,4,11,0,32.2174,0,2,18986,408.593974175,0.201940054,0.1226783917,85,1.8292682927,0.4271356784,31,0.6671449067,27,27,,,12014,130.6588235294,11625,-0.0421052632,46,1,1,0,1.0114777618,0.0370018975,4,2,2,2001,2182,-181,3306,3228,78,2681,2459,222
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,6,Red,Top,Smeb,KT Rolster,Maokai,LeBlanc,Camille,Zyra,46.4666666667,1,1,2,9,12,13,0,0,0,0,0,0,13.7238833333,0.0215208034,0.0215208034,0.5380200861,0,20.0583833333,4,0,0,0,0,0,0,0,0,0,,,1,18.0562333333,1,1,11,4,1,32.2174,2,0,24222,521.2769010043,0.2155039725,0.1923643277,25,0.5380200861,0.1336898396,4,0.0860832138,2,2,,,17214,242.5670014347,19610,0.2928968138,343,16,4,12,7.7259684362,0.2280701754,83,82,1,3139,3156,-17,4900,4762,138,4744,4509,235
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,7,Red,Jungle,Score,KT Rolster,Elise,LeBlanc,Camille,Zyra,46.4666666667,1,4,3,4,12,13,1,1,0,0,0,0,13.7238833333,0.0860832138,0.0215208034,0.5380200861,1,20.0583833333,4,0,1,0,0,0,1,0,1,0,,,1,18.0562333333,1,1,11,4,1,32.2174,2,0,13152,283.0416068867,0.1170137993,0.1958971488,32,0.6886657102,0.1711229947,26,0.5595408895,7,8,,,17421,247.0218077475,15875,0.1184320267,55,167,97,70,4.7776183644,0.1609907121,39,47,-8,2800,2708,92,4291,4359,-68,2889,3001,-112
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,8,Red,Middle,Pawn,KT Rolster,Ryze,LeBlanc,Camille,Zyra,46.4666666667,1,1,2,5,12,13,0,0,0,0,0,0,13.7238833333,0.0215208034,0.1076040172,0.5380200861,0,20.0583833333,4,0,1,0,0,0,0,1,0,0,,,1,18.0562333333,1,1,11,4,1,32.2174,2,0,15596,335.6384505022,0.1387581519,0.2197223578,24,0.5164992826,0.128342246,7,0.1506456241,6,6,,,18817,277.0648493544,23050,0.1796690307,386,24,6,18,8.8235294118,0.2724458204,92,94,-2,3439,3460,-21,5199,5359,-160,5160,4818,342
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,9,Red,ADC,Deft,KT Rolster,Ezreal,LeBlanc,Camille,Zyra,46.4666666667,1,5,1,4,12,13,1,1,0,0,0,0,13.7238833333,0.1076040172,0.0860832138,0.5380200861,0,20.0583833333,4,0,1,0,0,0,0,1,0,0,,,1,18.0562333333,1,1,11,4,1,32.2174,2,0,42365,911.7288378766,0.3769228716,0.2559892411,21,0.4519368723,0.1122994652,8,0.1721664275,3,3,,,20942,322.7965566714,18008,0.067924095,405,23,12,11,9.2109038737,0.3013415893,85,78,7,3199,3005,194,4879,4747,132,3080,2895,185
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,10,Red,Support,Mata,KT Rolster,Miss Fortune,LeBlanc,Camille,Zyra,46.4666666667,1,1,5,6,12,13,0,0,0,0,0,1,13.7238833333,0.0215208034,0.0430416069,0.5380200861,0,20.0583833333,4,0,0,0,0,0,0,0,0,0,,,1,18.0562333333,1,1,11,4,1,32.2174,2,0,17062,367.1879483501,0.1518012047,0.1360269245,85,1.8292682927,0.4545454545,17,0.3658536585,21,21,,,13913,171.5268292683,12125,0.0421052632,39,3,3,0,0.9038737446,0.0371517028,2,4,-2,2182,2001,181,3228,3306,-78,2459,2681,-222
