gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
40681,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40681?gameHash=c640f917d71e8df8,LCK,2017-1,42781.3162731482,5.2,2,7.02,1,Blue,Top,MaRin,Afreeca Freecs,Kennen,Varus,Zyra,Jayce,Syndra,Shen,33.05,0,3,2,0,4,18,1,1,0,0,0,0,2,0.0907715582,0.1512859304,0.6656580938,0,8.8059666667,0,4,0,0,0,0,0,0,0,0,,,1,16.5164333333,0,0,4,11,0,20.32175,0,2,6535,197.7307110439,0.1466101315,0.3201718066,17,0.5143721634,0.1278195489,6,0.1815431165,2,2,,,14647,313.0553706505,14775,0.103202847,338,25,7,18,10.9833585477,0.372250423,92,85,7,3440,3194,246,5472,5066,406,4958,4607,351
40681,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40681?gameHash=c640f917d71e8df8,LCK,2017-1,42781.3162731482,5.2,2,7.02,2,Blue,Jungle,Spirit,Afreeca Freecs,Graves,Varus,Zyra,Jayce,Syndra,Shen,33.05,0,0,4,4,4,18,0,0,0,0,0,1,2,0,0.1210287443,0.6656580938,0,8.8059666667,0,4,0,4,0,0,0,0,0,0,,,1,16.5164333333,0,0,4,11,0,20.32175,0,2,7870,238.1240544629,0.1765603266,0.1875415437,32,0.9682299546,0.2406015038,15,0.4538577912,13,7,,,10361,183.3730711044,10150,-0.2462203024,54,121,85,36,5.2950075643,0.1404399323,59,36,23,3059,3181,-122,4608,4779,-171,3786,2969,817
40681,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40681?gameHash=c640f917d71e8df8,LCK,2017-1,42781.3162731482,5.2,2,7.02,3,Blue,Middle,Kuro,Afreeca Freecs,Corki,Varus,Zyra,Jayce,Syndra,Shen,33.05,0,1,4,0,4,18,0,0,0,0,0,0,2,0.0302571861,0.0907715582,0.6656580938,0,8.8059666667,0,4,0,0,0,0,0,0,0,0,,,1,16.5164333333,0,0,4,11,0,20.32175,0,2,18737,566.9288956127,0.4203571589,0.2162585021,17,0.5143721634,0.1278195489,9,0.2723146747,2,3,,,11289,211.4517397882,10608,-0.2508038585,271,17,12,5,8.7140695915,0.269035533,67,93,-26,2896,3289,-393,4762,5216,-454,4453,4555,-102
40681,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40681?gameHash=c640f917d71e8df8,LCK,2017-1,42781.3162731482,5.2,2,7.02,4,Blue,ADC,Kramer,Afreeca Freecs,Ashe,Varus,Zyra,Jayce,Syndra,Shen,33.05,0,0,4,1,4,18,0,0,0,0,0,0,2,0,0.1512859304,0.6656580938,0,8.8059666667,0,4,0,0,0,0,0,0,0,0,,,1,16.5164333333,0,0,4,11,0,20.32175,0,2,7612,230.3177004539,0.170772199,0.1904813185,18,0.5446293495,0.1353383459,15,0.4538577912,6,8,,,10456,186.2475037821,10075,-0.2666666667,235,15,5,10,7.5642965204,0.1996615905,83,82,1,3147,3183,-36,4746,4907,-161,3073,3168,-95
40681,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40681?gameHash=c640f917d71e8df8,LCK,2017-1,42781.3162731482,5.2,2,7.02,5,Blue,Support,Tusin,Afreeca Freecs,Malzahar,Varus,Zyra,Jayce,Syndra,Shen,33.05,0,0,4,1,4,18,0,0,0,0,0,0,2,0,0.0302571861,0.6656580938,0,8.8059666667,0,4,0,0,0,0,0,0,0,0,,,1,16.5164333333,0,0,4,11,0,20.32175,0,2,3820,115.5824508321,0.085700184,0.0855468291,49,1.482602118,0.3684210526,10,0.3025718608,27,10,,,7065,83.6453857791,6600,-0.3803680982,14,0,0,0,0.4236006051,0.0186125212,2,3,-1,1789,1866,-77,2686,2863,-177,2745,2472,273
40681,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40681?gameHash=c640f917d71e8df8,LCK,2017-1,42781.3162731482,5.2,2,7.02,6,Red,Top,Crazy,BBQ Olivers,Maokai,LeBlanc,Camille,Rengar,Thresh,Rumble,33.05,1,5,0,8,18,4,2,0,0,0,0,0,2,0.1512859304,0.0907715582,0.6656580938,0,8.8059666667,4,0,0,0,0,0,0,0,0,0,,,0,16.5164333333,1,1,11,4,1,20.32175,2,0,9803,296.6111951589,0.1722544368,0.2146889913,21,0.6354009077,0.1603053435,2,0.0605143722,5,5,,,14207,299.7422087746,13325,-0.103202847,267,6,3,3,8.2602118003,0.241697417,85,92,-7,3194,3440,-246,5066,5472,-406,4607,4958,-351
40681,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40681?gameHash=c640f917d71e8df8,LCK,2017-1,42781.3162731482,5.2,2,7.02,7,Red,Jungle,Bless,BBQ Olivers,Kha'zix,LeBlanc,Camille,Rengar,Thresh,Rumble,33.05,1,4,0,6,18,4,1,0,0,0,1,0,2,0.1210287443,0,0.6656580938,1,8.8059666667,4,0,4,0,2,1,0,1,0,0,,,0,16.5164333333,1,1,11,4,1,20.32175,2,0,10896,329.6822995461,0.1914602003,0.2062370783,26,0.7866868381,0.1984732824,13,0.3933434191,10,3,,,13817,287.9419062027,13000,0.2462203024,57,104,67,37,4.8714069592,0.1771217712,36,59,-23,3181,3059,122,4779,4608,171,2969,3786,-817
40681,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40681?gameHash=c640f917d71e8df8,LCK,2017-1,42781.3162731482,5.2,2,7.02,8,Red,Middle,Tempt,BBQ Olivers,Cassiopeia,LeBlanc,Camille,Rengar,Thresh,Rumble,33.05,1,3,2,10,18,4,0,0,0,0,0,0,2,0.0907715582,0.0302571861,0.6656580938,0,8.8059666667,4,0,0,0,0,0,0,0,0,0,,,0,16.5164333333,1,1,11,4,1,20.32175,2,0,8643,261.5128593041,0.1518713759,0.2107230937,19,0.5748865356,0.1450381679,6,0.1815431165,7,6,,,14024,294.2051437216,13650,0.2508038585,274,13,10,3,8.6838124054,0.2453874539,93,67,26,3289,2896,393,5216,4762,454,4555,4453,102
40681,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40681?gameHash=c640f917d71e8df8,LCK,2017-1,42781.3162731482,5.2,2,7.02,9,Red,ADC,Ghost,BBQ Olivers,Jhin,LeBlanc,Camille,Rengar,Thresh,Rumble,33.05,1,5,1,11,18,4,1,1,0,0,0,0,2,0.1512859304,0,0.6656580938,0,8.8059666667,4,0,0,0,0,0,0,0,0,0,,,0,16.5164333333,1,1,11,4,1,20.32175,2,0,16469,498.3055975794,0.289386751,0.2338466606,15,0.4538577912,0.1145038168,8,0.2420574887,3,3,,,15091,326.4895612708,13175,0.2666666667,276,15,14,1,8.8048411498,0.2896678967,82,83,-1,3183,3147,36,4907,4746,161,3168,3073,95
40681,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40681?gameHash=c640f917d71e8df8,LCK,2017-1,42781.3162731482,5.2,2,7.02,10,Red,Support,Totoro,BBQ Olivers,Miss Fortune,LeBlanc,Camille,Rengar,Thresh,Rumble,33.05,1,1,1,11,18,4,0,0,0,0,0,0,2,0.0302571861,0,0.6656580938,0,8.8059666667,4,0,0,0,0,0,0,0,0,0,,,0,16.5164333333,1,1,11,4,1,20.32175,2,0,11099,335.8245083207,0.195027236,0.1345041761,50,1.5128593041,0.3816793893,19,0.5748865356,28,14,,,10507,187.7906202723,9700,0.3803680982,34,0,0,0,1.0287443268,0.0461254613,3,2,1,1866,1789,77,2863,2686,177,2472,2745,-273
