gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,custom_week,custom_damagetaken
50079,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/50079?gameHash=34aba62c58e95776&tab=overview,LCK,2017-1,42773.1028240741,4.1,1,7.02,1,Blue,Top,MaRin,Afreeca Freecs,Camille,Jayce,Zyra,Varus,Syndra,Taliyah,36.9833333333,0,3,3,7,14,11,0,0,0,0,0,0,4,0.0811176205,0.0270392068,0.6759801712,0,9.50085,1,3,0,0,0,0,0,0,0,0,,,0,19.4338666667,0,0,7,7,1,25.73485,1,1,18677,505.0112663362,0.2648393409,0.2307960678,19,0.5137449301,0.1180124224,14652,266.8780531771,14683,0.057667379,323,30,15,15,9.544840018,0.3256880734,89,86,3,3282,3228,54,4986,4771,215,4728,4,29930
50079,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/50079?gameHash=34aba62c58e95776&tab=overview,LCK,2017-1,42773.1028240741,4.1,1,7.02,2,Blue,Jungle,Spirit,Afreeca Freecs,Olaf,Jayce,Zyra,Varus,Syndra,Taliyah,36.9833333333,0,3,2,6,14,11,0,0,0,0,0,1,4,0.0811176205,0.0811176205,0.6759801712,0,9.50085,1,3,1,3,1,0,0,0,0,0,,,0,19.4338666667,0,0,7,7,1,25.73485,1,1,14678,396.8814781433,0.2081336321,0.1783468802,30,0.8111762055,0.1863354037,12409,206.2291122127,12145,0.0463352991,33,113,74,39,3.9477242001,0.1131498471,49,52,-3,2865,3578,-713,4346,5253,-907,3342,4,40071
50079,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/50079?gameHash=34aba62c58e95776&tab=overview,LCK,2017-1,42773.1028240741,4.1,1,7.02,3,Blue,Middle,Kuro,Afreeca Freecs,Orianna,Jayce,Zyra,Varus,Syndra,Taliyah,36.9833333333,0,4,2,7,14,11,0,0,0,0,0,0,4,0.1081568274,0.0270392068,0.6759801712,0,9.50085,1,3,0,0,0,0,0,0,0,0,,,0,19.4338666667,0,0,7,7,1,25.73485,1,1,17682,478.1072555205,0.2507302686,0.2321990778,22,0.5948625507,0.1366459627,14712,268.5004055881,13575,0.0426588421,284,17,16,1,8.1388012618,0.250764526,94,87,7,3384,3288,96,5026,4848,178,5136,4,13703
50079,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/50079?gameHash=34aba62c58e95776&tab=overview,LCK,2017-1,42773.1028240741,4.1,1,7.02,4,Blue,ADC,Kramer,Afreeca Freecs,Caitlyn,Jayce,Zyra,Varus,Syndra,Taliyah,36.9833333333,0,2,1,6,14,11,0,0,0,0,0,0,4,0.0540784137,0.1351960342,0.6759801712,0,9.50085,1,3,0,0,0,0,0,0,0,0,,,0,19.4338666667,0,0,7,7,1,25.73485,1,1,14135,382.1991888238,0.2004339071,0.2240616202,18,0.4867057233,0.1118012422,14364,259.0907616043,14500,0.1167883212,294,24,14,10,8.5984677783,0.2874617737,84,85,-1,3177,3228,-51,5089,4871,218,2990,4,10735
50079,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/50079?gameHash=34aba62c58e95776&tab=overview,LCK,2017-1,42773.1028240741,4.1,1,7.02,5,Blue,Support,Tusin,Afreeca Freecs,Karma,Jayce,Zyra,Varus,Syndra,Taliyah,36.9833333333,0,2,3,11,14,11,1,0,0,0,0,0,4,0.0540784137,0.0270392068,0.6759801712,0,9.50085,1,3,0,0,0,0,0,0,0,0,,,0,19.4338666667,0,0,7,7,1,25.73485,1,1,5350,144.6597566471,0.0758628513,0.134596354,72,1.9468228932,0.4472049689,10538,155.6387561965,10325,0.1454545455,22,1,0,1,0.6219017575,0.0229357798,4,3,1,2110,1966,144,3160,3370,-210,2743,4,16729
50079,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/50079?gameHash=34aba62c58e95776&tab=overview,LCK,2017-1,42773.1028240741,4.1,1,7.02,6,Red,Top,Shy,ROX Tigers,Shen,LeBlanc,Ashe,Miss Fortune,Tahm Kench,Elise,36.9833333333,1,1,1,7,11,14,0,0,0,0,0,0,4,0.0270392068,0.0811176205,0.6759801712,0,9.50085,3,1,0,0,0,0,0,0,0,0,,,1,19.4338666667,1,1,7,7,0,25.73485,1,1,13562,366.7057232988,0.1709998739,0.2298507463,18,0.4867057233,0.1353383459,15294,284.2372239748,13860,-0.057667379,356,33,7,26,10.5182514646,0.32625,86,89,-3,3228,3282,-54,4771,4986,-215,4522,4,20042
50079,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/50079?gameHash=34aba62c58e95776&tab=overview,LCK,2017-1,42773.1028240741,4.1,1,7.02,7,Red,Jungle,Seonghwan,ROX Tigers,Rengar,LeBlanc,Ashe,Miss Fortune,Tahm Kench,Elise,36.9833333333,1,3,4,7,11,14,0,0,0,0,1,0,4,0.0811176205,0.0811176205,0.6759801712,1,9.50085,3,1,3,1,0,0,1,2,0,0,,,1,19.4338666667,1,1,7,7,0,25.73485,1,1,15447,417.6746282109,0.1947673686,0.1803254457,20,0.540784137,0.1503759398,13029,222.9934204597,11595,-0.0463352991,26,158,102,56,4.9752140604,0.1075,52,49,3,3578,2865,713,5253,4346,907,3793,4,34764
50079,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/50079?gameHash=34aba62c58e95776&tab=overview,LCK,2017-1,42773.1028240741,4.1,1,7.02,8,Red,Middle,Mickey,ROX Tigers,Corki,LeBlanc,Ashe,Miss Fortune,Tahm Kench,Elise,36.9833333333,1,1,5,7,11,14,0,0,0,0,0,0,4,0.0270392068,0.1081568274,0.6759801712,0,9.50085,3,1,0,0,0,0,0,0,0,0,,,1,19.4338666667,1,1,7,7,0,25.73485,1,1,21140,571.6088328076,0.266548985,0.2359730792,22,0.5948625507,0.1654135338,15574,291.8082018927,13008,-0.0426588421,328,19,10,9,9.3826047769,0.2725,87,94,-7,3288,3384,-96,4848,5026,-178,4655,4,22986
50079,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/50079?gameHash=34aba62c58e95776&tab=overview,LCK,2017-1,42773.1028240741,4.1,1,7.02,9,Red,ADC,Sangyoon,ROX Tigers,Jhin,LeBlanc,Ashe,Miss Fortune,Tahm Kench,Elise,36.9833333333,1,5,0,3,11,14,1,1,0,0,0,0,4,0.1351960342,0.0540784137,0.6759801712,0,9.50085,3,1,0,0,0,0,0,0,0,0,,,1,19.4338666667,1,1,7,7,0,25.73485,1,1,21328,576.6922036954,0.2689194301,0.2408928111,12,0.3244704822,0.0902255639,15799,297.892023434,12900,-0.1167883212,329,6,6,0,9.0581342947,0.255,85,84,1,3228,3177,51,4871,5089,-218,3185,4,6598
50079,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/50079?gameHash=34aba62c58e95776&tab=overview,LCK,2017-1,42773.1028240741,4.1,1,7.02,10,Red,Support,Key,ROX Tigers,Malzahar,LeBlanc,Ashe,Miss Fortune,Tahm Kench,Elise,36.9833333333,1,1,4,3,11,14,0,0,0,0,0,0,4,0.0270392068,0.0540784137,0.6759801712,0,9.50085,3,1,0,0,0,0,0,0,0,0,,,1,19.4338666667,1,1,7,7,0,25.73485,1,1,7833,211.7981072555,0.0987643425,0.1129579177,61,1.6493916178,0.4586466165,9948,139.685624155,8925,-0.1454545455,42,0,0,0,1.1356466877,0.03875,3,4,-1,1966,2110,-144,3370,3160,210,2713,4,14214
40067,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40067?gameHash=bdbf7fd35fde25c4&tab=overview,LCK,2017-1,42773.1618865741,4.1,2,7.02,1,Blue,Top,Shy,ROX Tigers,Poppy,Malzahar,Kha'zix,Zyra,Orianna,Jhin,40.5833333333,0,1,1,5,13,19,0,0,0,0,0,0,6,0.0246406571,0.0985626283,0.7885010267,0,9.8129166667,2,2,0,0,0,0,0,0,0,0,,,0,14.1166166667,0,0,3,11,0,28.2386666667,0,2,14651,361.0102669405,0.1460543106,0.2108541276,20,0.4928131417,0.1226993865,13774,210.7121149897,12475,-0.2351900973,323,8,4,4,8.1560574949,0.2567049808,78,86,-8,3031,3205,-174,4988,5254,-266,4229,4,37122
40067,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40067?gameHash=bdbf7fd35fde25c4&tab=overview,LCK,2017-1,42773.1618865741,4.1,2,7.02,2,Blue,Jungle,Seonghwan,ROX Tigers,Elise,Malzahar,Kha'zix,Zyra,Orianna,Jhin,40.5833333333,0,4,6,1,13,19,0,0,0,0,1,0,6,0.0985626283,0.0985626283,0.7885010267,0,9.8129166667,2,2,2,1,0,0,1,1,0,0,,,0,14.1166166667,0,0,3,11,0,28.2386666667,0,2,15493,381.7577002053,0.1544481219,0.1753230102,36,0.887063655,0.2208588957,12333,175.2049281314,11475,-0.185770751,50,115,67,48,4.0657084189,0.1277139208,42,51,-9,3174,3701,-527,4885,5300,-415,3151,4,29423
40067,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40067?gameHash=bdbf7fd35fde25c4&tab=overview,LCK,2017-1,42773.1618865741,4.1,2,7.02,3,Blue,Middle,Mickey,ROX Tigers,Corki,Malzahar,Kha'zix,Zyra,Orianna,Jhin,40.5833333333,0,8,5,2,13,19,2,0,0,0,0,0,6,0.1971252567,0.1232032854,0.7885010267,0,9.8129166667,2,2,0,0,0,0,0,0,0,0,,,0,14.1166166667,0,0,3,11,0,28.2386666667,0,2,37846,932.5503080082,0.3772828774,0.2955271723,25,0.6160164271,0.1533742331,17208,295.3281314168,16408,0.1303557518,347,40,34,6,9.5359342916,0.3243933589,84,77,7,3275,3529,-254,5606,5645,-39,4532,4,26180
40067,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40067?gameHash=bdbf7fd35fde25c4&tab=overview,LCK,2017-1,42773.1618865741,4.1,2,7.02,4,Blue,ADC,Sangyoon,ROX Tigers,Varus,Malzahar,Kha'zix,Zyra,Orianna,Jhin,40.5833333333,0,0,3,11,13,19,0,0,0,0,0,0,6,0,0.1232032854,0.7885010267,0,9.8129166667,2,2,0,1,0,0,0,0,0,0,,,0,14.1166166667,0,0,3,11,0,28.2386666667,0,2,27403,675.227926078,0.2731776856,0.2103609823,12,0.295687885,0.0736196319,13754,210.2193018481,13800,-0.1584653878,312,10,10,0,7.9342915811,0.2554278416,76,75,1,3065,3144,-79,4881,5762,-881,3204,4,15753
40067,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40067?gameHash=bdbf7fd35fde25c4&tab=overview,LCK,2017-1,42773.1618865741,4.1,2,7.02,5,Blue,Support,Key,ROX Tigers,Thresh,Malzahar,Kha'zix,Zyra,Orianna,Jhin,40.5833333333,0,0,4,10,13,19,0,0,0,0,0,0,6,0,0.0246406571,0.7885010267,0,9.8129166667,2,2,0,0,0,0,0,0,0,0,,,0,14.1166166667,0,0,3,11,0,28.2386666667,0,2,4919,121.2073921971,0.0490370045,0.1079347076,70,1.7248459959,0.4294478528,9600,107.8620123203,8850,-0.1417322835,51,0,0,0,1.2566735113,0.0357598978,13,5,8,2031,1862,169,3202,3375,-173,1863,4,19001
40067,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40067?gameHash=bdbf7fd35fde25c4&tab=overview,LCK,2017-1,42773.1618865741,4.1,2,7.02,6,Red,Top,MaRin,Afreeca Freecs,Maokai,LeBlanc,Camille,Ashe,Shen,Jayce,40.5833333333,1,4,1,7,19,13,1,0,0,0,0,0,6,0.0985626283,0.0246406571,0.7885010267,0,9.8129166667,2,2,0,0,0,0,0,0,0,0,,,1,14.1166166667,1,1,11,3,1,28.2386666667,2,0,21773,536.501026694,0.2152545724,0.2016963433,19,0.4681724846,0.1137724551,15995,265.4390143737,15800,0.2351900973,301,12,4,8,7.7125256674,0.2258916777,86,78,8,3205,3031,174,5254,4988,266,4486,4,35643
40067,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40067?gameHash=bdbf7fd35fde25c4&tab=overview,LCK,2017-1,42773.1618865741,4.1,2,7.02,7,Red,Jungle,Spirit,Afreeca Freecs,Rengar,LeBlanc,Camille,Ashe,Shen,Jayce,40.5833333333,1,4,4,10,19,13,1,0,0,0,0,0,6,0.0985626283,0.0985626283,0.7885010267,1,9.8129166667,2,2,1,2,1,0,0,0,0,0,,,1,14.1166166667,1,1,11,3,1,28.2386666667,2,0,16173,398.5133470226,0.1598912506,0.1978018686,38,0.9363449692,0.2275449102,15787,260.3137577002,13825,0.185770751,70,141,93,48,5.1991786448,0.1862615588,51,42,9,3701,3174,527,5300,4885,415,3812,4,36886
40067,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40067?gameHash=bdbf7fd35fde25c4&tab=overview,LCK,2017-1,42773.1618865741,4.1,2,7.02,8,Red,Middle,Kuro,Afreeca Freecs,Aurelion Sol,LeBlanc,Camille,Ashe,Shen,Jayce,40.5833333333,1,5,2,9,19,13,0,0,0,0,0,0,6,0.1232032854,0.1971252567,0.7885010267,0,9.8129166667,2,2,0,0,0,0,0,0,0,0,,,1,14.1166166667,1,1,11,3,1,28.2386666667,2,0,23106,569.3470225873,0.2284330203,0.2157389204,23,0.5667351129,0.1377245509,16745,283.9195071869,14400,-0.1303557518,309,6,5,1,7.7618069815,0.2470277411,77,84,-7,3529,3275,254,5645,5606,39,4996,4,20935
40067,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40067?gameHash=bdbf7fd35fde25c4&tab=overview,LCK,2017-1,42773.1618865741,4.1,2,7.02,9,Red,ADC,Kramer,Afreeca Freecs,Sivir,LeBlanc,Camille,Ashe,Shen,Jayce,40.5833333333,1,5,1,12,19,13,1,0,0,0,0,0,6,0.1232032854,0,0.7885010267,0,9.8129166667,2,2,1,0,1,0,0,0,0,0,,,1,14.1166166667,1,1,11,3,1,28.2386666667,2,0,34591,852.3449691992,0.3419772615,0.2540657942,15,0.3696098563,0.0898203593,18792,334.3589322382,16175,0.1584653878,341,34,19,15,9.2402464066,0.3170409511,75,76,-1,3144,3065,79,5762,4881,881,3101,4,17739
40067,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40067?gameHash=bdbf7fd35fde25c4&tab=overview,LCK,2017-1,42773.1618865741,4.1,2,7.02,10,Red,Support,Tusin,Afreeca Freecs,Karma,LeBlanc,Camille,Ashe,Shen,Jayce,40.5833333333,1,1,5,13,19,13,0,0,0,0,0,1,6,0.0246406571,0,0.7885010267,0,9.8129166667,2,2,0,0,0,0,0,0,0,0,,,1,14.1166166667,1,1,11,3,1,28.2386666667,2,0,5507,135.6960985626,0.0544438952,0.1306970735,72,1.7741273101,0.4311377246,12203,172.0016427105,10200,0.1417322835,25,0,0,0,0.6160164271,0.0237780713,5,13,-8,1862,2031,-169,3375,3202,173,2541,4,19809
40068,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40068?gameHash=e1f9480de3deb220&tab=overview,LCK,2017-1,42773.2053819444,4.1,3,7.02,1,Blue,Top,MaRin,Afreeca Freecs,Maokai,Shen,Varus,Malzahar,Jayce,Syndra,34.8666666667,1,3,2,6,17,8,0,0,0,0,0,0,9,0.086042065,0.0286806883,0.7170172084,0,13.474,4,0,0,0,0,0,0,0,0,0,,,1,16.006,1,1,11,1,1,27.4956666667,1,0,14382,412.4856596558,0.1743906875,0.1984007763,15,0.430210325,0.1056338028,13356,253.3399617591,12975,0.2589771491,269,0,0,0,7.7151051625,0.240234375,82,73,9,3094,2933,161,5169,4713,456,4316,4,30526
40068,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40068?gameHash=e1f9480de3deb220&tab=overview,LCK,2017-1,42773.2053819444,4.1,3,7.02,2,Blue,Jungle,Spirit,Afreeca Freecs,Kha'zix,Shen,Varus,Malzahar,Jayce,Syndra,34.8666666667,1,3,1,7,17,8,0,0,0,0,0,0,9,0.086042065,0.0573613767,0.7170172084,1,13.474,4,0,3,0,0,1,2,0,0,0,,,1,16.006,1,1,11,1,1,27.4956666667,1,0,10957,314.2543021033,0.1328604341,0.1979740171,33,0.9464627151,0.2323943662,13337,252.7950286807,12725,0.3204923638,34,129,74,55,4.6749521989,0.1640625,44,44,0,2976,3215,-239,4625,4466,159,3381,4,29930
40068,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/40068?gameHash=e1f9480de3deb220&tab=overview,LCK,2017-1,42773.2053819444,4.1,3,7.02,3,Blue,Middle,Kuro,Afreeca Freecs,Aurelion Sol,Shen,Varus,Malzahar,Jayce,Syndra,34.8666666667,1,9,3,2,17,8,2,1,0,0,0,0,9,0.258126195,0.086042065,0.7170172084,0,13.474,4,0,1,0,0,0,1,0,0,0,,,1,16.006,1,1,11,1,1,27.4956666667,1,0,19212,551.0133843212,0.2329574391,0.2398413354,22,0.6309751434,0.1549295775,15201,306.25583174,14650,0.1879550461,264,13,4,9,7.9445506692,0.259765625,91,84,7,3309,3196,113,5377,4915,462,4635,4,21307
