选手,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,选取英雄频次,赛区,位置,出场次数
Ziv,312.68109240220474,382.29414414255876,1335.6309523809523,13819.5,0.79018374338205,0.9269029436538337,0.18366256573307485,0.24490621647360222,2.3333333333333335,1.3333333333333333,6.166666666666667,1.0,Gragas-2 Maokai-2 Nautilus-2,LMS,Top,6
Hai,611.6656972215283,364.79989512961436,2501.6214285714286,4540.526666666667,1.5969319271477918,1.3635497759862514,0.3114275086509019,0.19240691535247412,4.4,3.8,5.4,0.2,Corki-1 Jarvan IV-2 Orianna-2,NALCS,Middle,5
Odoamne,464.1278416155909,393.40286412557253,1314.7470588235294,19105.25,1.14172929900081,0.9847334315543285,0.1977456347804175,0.2720721175704258,3.0,1.0,10.5,1.0,Maokai-1 Poppy-1,EULCS,Top,2
Ian,619.5626073119378,396.370863117303,2018.3,8064.583333333333,1.509943718633678,1.2033752128547353,0.2511266436653991,0.12755809056909478,3.75,1.5,8.25,1.0,Jayce-1 Syndra-3,LCK,Middle,4
SiuSiu,442.4668202399028,343.4366117436758,3344.2511111111103,5763.626666666666,1.2385198857981488,1.0561466573724756,0.23317382930855213,0.1833700151705548,2.5,3.5,3.2,0.0,Cassiopeia-1 Corki-2 Ekko-1 LeBlanc-1 Syndra-3 Taliyah-2,LMS,Middle,10
Stitch,407.06900876672273,365.83588015103237,2275.4,15689.5,1.0918278077313013,1.0003861383080217,0.22185970348889886,0.11236010874812871,3.5,1.0,5.0,0.5,Jhin-2,LCK,ADC,2
Cabochard,238.6404679908021,308.5107326508207,4327.583333333333,10012.5,0.7302201415822547,0.8157621051427058,0.18047804408918608,0.23555621943471794,0.5,1.5,2.0,0.0,Poppy-2,EULCS,Top,2
Jay,142.66951721101626,245.98520806603202,877.3149999999999,4806.066666666667,0.5582362614867121,0.5826905315566362,0.08379809657443935,0.09643817240538533,0.6,2.4,7.0,0.8,Karma-2 Malzahar-3,LMS,Support,5
Reignover,331.127636592074,320.67786675423696,1773.4650793650796,7627.958333333333,0.9787910430213569,0.9326850516778585,0.18446034522803634,0.2844588493159349,3.1666666666666665,3.3333333333333335,3.5,0.3333333333333333,Graves-1 Ivern-1 Kha'zix-2 Rengar-2,NALCS,Jungle,6
UmTi,187.8406879798773,295.74199915816024,3461.5433333333335,8006.4285714285725,0.6105889208448488,0.5820156493213429,0.10619327945696662,0.28685376658981077,2.2,4.8,3.6,0.2,Graves-1 Lee Sin-3 Rengar-1,LCK,Jungle,5
Altec,442.4139085875132,347.2690419124113,3220.279047619048,5364.6,1.2294757221909478,1.054346826126741,0.22869102484791642,0.11297645101820912,3.0,2.2,3.4,0.2,Jhin-3 Sivir-1 Varus-1,NALCS,ADC,5
LOFS,311.0943149030278,304.86568362250705,3726.437380952381,9383.183333333334,0.9733090101155586,0.8178838851515028,0.16035722560028925,0.2572359006056992,1.1,3.1,3.4,0.0,Jayce-1 Maokai-5 Nautilus-2 Rumble-1 Singed-1,LMS,Top,10
Moon,305.94542228154734,319.3979288128984,2741.7054545454544,6211.84,0.9129516651940144,0.7767732026864435,0.15521148204671395,0.2886274774585225,1.8,4.2,4.2,0.2,Graves-2 Rengar-2 Shaco-1,NALCS,Jungle,5
Betsy,534.2995751115731,378.6715222704013,4353.65,7203.833333333334,1.36395418854953,1.3176822693689707,0.31682028082450897,0.1599113756480175,1.5,2.5,3.0,0.0,Corki-1 Orianna-1,EULCS,Middle,2
brTT RX,390.63162689935615,456.2369321375203,1059.55,5904.5,0.8018043854417882,0.7849019637376693,0.18672636836747797,0.09857960069651153,3.5,0.0,5.5,1.0,Ashe-1 Varus-1,CBLoL,ADC,2
