gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,custom_week,custom_damagetaken
70367,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70367?gameHash=cb7f0c7100a503bd,LCK,2017-1,42794.113599537,6.1,1,7.03,1,Blue,Top,ADD,MVP,Maokai,Malzahar,Ashe,Zyra,Ekko,Shen,32.7833333333,1,2,1,5,10,7,1,0,0,0,0,0,9,0.061006609,0,0.5185561769,0,19.5501166667,1,1,0,0,0,0,0,0,0,0,,,1,17.98225,1,0,7,4,1,23.6114833333,1,0,13288,405.3279105236,0.2156792728,0.2085071916,22,0.6710726995,0.1946902655,5,0.1525165226,8,7,,,12557,252.8455516014,10625,0.0636076718,273,1,0,1,8.3579054398,0.2062193126,85,68,17,3222,2842,380,5151,4426,725,4677,4401,276,6,23349
70367,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70367?gameHash=cb7f0c7100a503bd,LCK,2017-1,42794.113599537,6.1,1,7.03,2,Blue,Jungle,Beyond,MVP,Rengar,Malzahar,Ashe,Zyra,Ekko,Shen,32.7833333333,1,4,3,4,10,7,0,0,0,0,1,0,9,0.1220132181,0.1220132181,0.5185561769,0,19.5501166667,1,1,1,1,1,0,0,0,0,0,,,1,17.98225,1,0,7,4,1,23.6114833333,1,0,8962,273.37061515,0.1454633988,0.2134877473,27,0.8235892222,0.2389380531,9,0.2745297407,8,7,,,12755,258.8852058973,11700,0.0707964602,39,169,91,78,6.3446873411,0.201309329,50,64,-14,3364,3352,12,5062,4826,236,3521,4299,-778,6,24929
70367,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70367?gameHash=cb7f0c7100a503bd,LCK,2017-1,42794.113599537,6.1,1,7.03,3,Blue,Middle,Ian,MVP,Syndra,Malzahar,Ashe,Zyra,Ekko,Shen,32.7833333333,1,3,2,5,10,7,1,0,0,0,0,0,9,0.0915099136,0.0915099136,0.5185561769,0,19.5501166667,1,1,0,0,0,0,0,0,0,0,,,1,17.98225,1,0,7,4,1,23.6114833333,1,0,19264,587.615658363,0.3126765136,0.2236752476,10,0.3050330452,0.0884955752,8,0.2440264362,4,4,,,13160,271.2390442298,11700,0.0187206142,267,11,4,7,8.4799186579,0.2144026187,86,76,10,3297,3090,207,5578,5311,267,4718,4594,124,6,11564
70367,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70367?gameHash=cb7f0c7100a503bd,LCK,2017-1,42794.113599537,6.1,1,7.03,4,Blue,ADC,MaHa,MVP,Sivir,Malzahar,Ashe,Zyra,Ekko,Shen,32.7833333333,1,0,0,7,10,7,0,0,0,0,0,0,9,0,0,0.5185561769,0,19.5501166667,1,1,0,0,0,0,0,0,0,0,,,1,17.98225,1,0,7,4,1,23.6114833333,1,0,14876,453.7671581088,0.2414543094,0.2448551866,14,0.4270462633,0.1238938053,8,0.2440264362,4,3,,,14002,296.9228266396,11475,0.0242557883,339,16,11,5,10.8286731063,0.3502454992,87,90,-3,3321,3304,17,5098,5016,82,3341,3175,166,6,6576
70367,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70367?gameHash=cb7f0c7100a503bd,LCK,2017-1,42794.113599537,6.1,1,7.03,5,Blue,Support,Max,MVP,Lulu,Malzahar,Ashe,Zyra,Ekko,Shen,32.7833333333,1,1,1,6,10,7,0,0,0,0,0,0,9,0.0305033045,0,0.5185561769,0,19.5501166667,1,1,0,0,0,0,0,0,0,0,,,1,17.98225,1,0,7,4,1,23.6114833333,1,0,5220,159.2272496187,0.0847265054,0.1094746268,40,1.220132181,0.3539823009,16,0.4880528724,23,9,,,8620,132.7540416879,7150,-0.0104347826,24,1,0,1,0.7625826131,0.0278232406,3,3,0,1997,1873,124,2940,2804,136,2888,2792,96,6,8530
70367,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70367?gameHash=cb7f0c7100a503bd,LCK,2017-1,42794.113599537,6.1,1,7.03,6,Red,Top,Expession,Longzhu Gaming,Nautilus,LeBlanc,Varus,Camille,Sion,Kennen,32.7833333333,0,0,1,3,7,10,0,0,0,0,0,0,9,0,0.061006609,0.5185561769,0,19.5501166667,1,1,0,0,0,0,0,0,0,0,,,0,17.98225,0,1,4,7,0,23.6114833333,0,1,13020,397.153024911,0.2520569161,0.2083705012,16,0.4880528724,0.1415929204,5,0.1525165226,3,2,,,11014,205.7789527199,9970,-0.0636076718,272,3,0,3,8.3884087443,0.2931654676,68,85,-17,2842,3222,-380,4426,5151,-725,4401,4677,-276,6,23223
70367,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70367?gameHash=cb7f0c7100a503bd,LCK,2017-1,42794.113599537,6.1,1,7.03,7,Red,Jungle,Crash,Longzhu Gaming,Graves,LeBlanc,Varus,Camille,Sion,Kennen,32.7833333333,0,4,2,3,7,10,1,0,0,0,0,0,9,0.1220132181,0.1220132181,0.5185561769,1,19.5501166667,1,1,1,1,0,0,0,1,0,0,,,0,17.98225,0,1,4,7,0,23.6114833333,0,1,10675,325.6227758007,0.2066595683,0.2300843845,27,0.8235892222,0.2389380531,11,0.3355363498,7,5,,,11717,227.2227758007,10900,-0.0707964602,59,130,89,41,5.7651245552,0.1834532374,64,50,14,3352,3364,-12,4826,5062,-236,4299,3521,778,6,17764
70367,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70367?gameHash=cb7f0c7100a503bd,LCK,2017-1,42794.113599537,6.1,1,7.03,8,Red,Middle,Fly,Longzhu Gaming,Corki,LeBlanc,Varus,Camille,Sion,Kennen,32.7833333333,0,3,2,4,7,10,1,0,0,0,0,0,9,0.0915099136,0.0915099136,0.5185561769,0,19.5501166667,1,1,0,0,0,0,0,0,0,0,,,0,17.98225,0,1,4,7,0,23.6114833333,0,1,17472,532.9537366548,0.3382441196,0.2532499784,17,0.5185561769,0.1504424779,3,0.0915099136,2,2,,,12467,250.1002541942,11483,-0.0187206142,275,4,4,0,8.5104219624,0.2607913669,76,86,-10,3090,3297,-207,5311,5578,-267,4594,4718,-124,6,16451
70367,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70367?gameHash=cb7f0c7100a503bd,LCK,2017-1,42794.113599537,6.1,1,7.03,9,Red,ADC,PraY,Longzhu Gaming,Jhin,LeBlanc,Varus,Camille,Sion,Kennen,32.7833333333,0,0,2,1,7,10,0,0,0,0,0,0,9,0,0,0.5185561769,0,19.5501166667,1,1,0,0,0,0,0,0,0,0,,,0,17.98225,0,1,4,7,0,23.6114833333,0,1,7226,220.4168784952,0.1398896525,0.2140846811,12,0.3660396543,0.1061946903,2,0.061006609,0,0,,,11199,211.4220640569,11200,-0.0242557883,272,11,2,9,8.6324351805,0.2517985612,90,87,3,3304,3321,-17,5016,5098,-82,3175,3341,-166,6,11360
70367,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70367?gameHash=cb7f0c7100a503bd,LCK,2017-1,42794.113599537,6.1,1,7.03,10,Red,Support,Gorilla,Longzhu Gaming,Karma,LeBlanc,Varus,Camille,Sion,Kennen,32.7833333333,0,0,3,4,7,10,0,0,0,0,0,1,9,0,0.0305033045,0.5185561769,0,19.5501166667,1,1,0,0,0,0,0,0,0,0,,,0,17.98225,0,1,4,7,0,23.6114833333,0,1,3262,99.5017793594,0.0631497435,0.0942104548,41,1.2506354855,0.3628318584,10,0.3050330452,22,9,,,7318,93.0387391967,7225,0.0104347826,13,0,0,0,0.3965429588,0.0107913669,3,3,0,1873,1997,-124,2804,2940,-136,2792,2888,-96,6,12502
