英雄,位置,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,BAN,第一轮ban,第二轮ban,PICK,BAN+PICK
Rengar,Jungle,272.45600785860034,329.12806909091967,1452.5318945266617,14864.642331118495,0.7810248069157929,0.7537774723920835,0.14785176674909875,0.32023789218797033,2.883720930232558,3.116279069767442,5.372093023255814,0.4883720930232558,44,44,0,43,87
Renekton,Top,329.03146284564303,372.2767175211693,2704.8158424908424,15913.748076923077,0.8472882951689968,0.8654244005086187,0.19067080710101372,0.32257821063307446,2.3461538461538463,2.5,4.038461538461538,0.46153846153846156,17,3,14,26,43
Anivia,Middle,500.22429906542055,327.8878504672897,4460.333333333333,5306.0,1.4433178729371157,1.3068660965796837,0.2935137862203602,0.20160085108538717,2.0,3.0,1.0,0.0,0,0,0,1,1
Rengar,Top,442.4281150159744,374.6325878594249,1538.6666666666667,25111.0,1.1326680844102732,0.9589901128132345,0.19200532423776048,0.31632717332426336,1.0,0.0,8.0,1.0,44,44,0,1,45
Ryze,Middle,384.8549796593817,385.1290881482247,2315.246525974026,8507.225,0.941946006415332,0.9066686415957105,0.20812765872026487,0.17472211370281296,2.7333333333333334,2.4,4.5,0.4,49,28,21,30,79
Malzahar,Middle,696.2759501761075,436.595336953329,2595.285714285714,8869.0,1.5605377313920028,1.2894864445403886,0.3042564416047698,0.12896330602066264,7.0,2.0,7.0,1.0,55,50,5,1,56
Karma,Support,176.5998038048071,237.64673202892746,1472.0078633960914,6372.403191489362,0.7081112430570602,0.6866606502617922,0.09944912105601694,0.1347826861742373,0.5957446808510638,2.3404255319148937,7.404255319148936,0.40425531914893614,16,6,10,47,63
Aurelion Sol,Middle,473.8048159188277,380.23260395614517,1634.3011363636363,11332.166666666666,1.2188010999184746,1.0709001858243647,0.2307456530698123,0.2099327572530234,3.3333333333333335,2.0,8.333333333333334,0.6666666666666666,2,0,2,3,5
Shen,Top,274.0448374466119,353.06457061431996,2023.6169681711478,10600.989348370926,0.7361394977317037,0.7440248371722383,0.1583609966296018,0.2673146342906716,1.894736842105263,3.0,5.578947368421052,0.42105263157894735,45,32,13,19,64
Trundle,Top,291.22178988349515,339.2217898835325,4158.0,6883.142857142857,0.829940119760479,0.832931217040397,0.17910833512814991,0.4020997112479762,1.0,7.0,2.0,0.0,0,0,0,1,1
