比赛日期,比赛,比赛场次,比赛小场,对阵双方,胜方,战队,队员,位置,所选英雄,击杀,死亡,助攻,击杀小兵数量,击杀中立生物量,在我方野区击杀中立生物,在敌方野区击杀中立生物,获取金钱数,插眼数,拆眼数,购买真眼数,参与推塔数,游戏结束时等级,死亡时长,输出伤害总量,对英雄造成伤害,对英雄造成物理伤害,对英雄造成魔法伤害,承受英雄伤害,承受英雄物理伤害,承受英雄魔法伤害,双杀次数,三杀次数,四杀次数,五杀次数,装备1,装备2,装备3,装备4,装备5,装备6,饰品
2017.01.19	,2017职业联赛	,第一周	,第一场	,RNG vs IM	,IM	,RNG	,RNGUzi	,ADC	,皮城女警-凯特琳	,1	,2	,3	,284	,11	,3	,8	,10299	,11	,3	,2	,1	,13	,36	,151547	,18010	,17086	,308	,12004	,8732	,3249	,0	,0	,0	,0	,基舍艾斯碎片	,多兰之刃	,狂战士胫甲	,无尽之刃	,卢安娜的飓风	,狂热	,远见改造	
2017.01.19	,2017职业联赛	,第一周	,第一场	,RNG vs IM	,IM	,RNG	,RNGMlxg	,JUNGLE	,盲僧-李青	,1	,4	,4	,114	,104	,71	,33	,8201	,20	,6	,6	,0	,13	,114	,117423	,8768	,7250	,1377	,24505	,18558	,5946	,0	,0	,0	,0	,附魔：战士	,控制守卫	,水银之靴	,守望者铠甲	,海克斯饮魔刀	,巨人腰带	,神谕改造	
2017.01.19	,2017职业联赛	,第一周	,第一场	,RNG vs IM	,IM	,RNG	,RNGXiaohu	,MID	,符文法师-瑞兹	,2	,2	,0	,272	,13	,13	,0	,10414	,18	,9	,8	,0	,15	,35	,168895	,14856	,492	,14364	,15087	,6361	,8496	,0	,0	,0	,0	,（空）	,（空）	,炽天使之拥	,水银之靴	,时光之杖	,虚空之杖	,远见改造	
2017.01.19	,2017职业联赛	,第一周	,第一场	,RNG vs IM	,IM	,RNG	,RNGLetme	,TOP	,暴怒骑士-克烈	,1	,4	,3	,202	,0	,0	,0	,9019	,13	,0	,2	,0	,14	,105	,112903	,17465	,17465	,0	,26299	,13411	,12747	,0	,0	,0	,0	,巨型九头蛇	,负极斗篷	,多兰之刃	,黑色切割者	,布甲	,速度之靴	,监视图腾（饰品）	
2017.01.19	,2017职业联赛	,第一周	,第一场	,RNG vs IM	,IM	,RNG	,RNGMing	,SUPPORT	,深海泰坦-诺提勒斯	,0	,3	,3	,33	,0	,0	,0	,6101	,36	,4	,8	,0	,11	,66	,19127	,5750	,1169	,4580	,16648	,9809	,6633	,0	,0	,0	,0	,洞察红宝石	,复用型药水	,山岳之容	,（空）	,轻灵之靴	,（空）	,神谕改造	
2017.01.19	,2017职业联赛	,第一周	,第一场	,RNG vs IM	,IM	,IM	,IMAmazingJ	,TOP	,扭曲树精-茂凯	,1	,2	,11	,212	,0	,0	,0	,10368	,14	,4	,2	,0	,15	,72	,118828	,15681	,2720	,12960	,21861	,16030	,5831	,0	,0	,0	,0	,振奋盔甲	,日炎斗篷	,锁子甲	,多兰之戒	,多兰之戒	,忍者足具	,监视图腾（饰品）	
2017.01.19	,2017职业联赛	,第一周	,第一场	,RNG vs IM	,IM	,IM	,IMJinjiao	,ADC	,惩戒之箭-韦鲁斯	,3	,0	,8	,265	,14	,8	,6	,12685	,12	,7	,2	,3	,15	,0	,153926	,22467	,19946	,2297	,10543	,7661	,2714	,1	,0	,0	,0	,暴风之剑	,破败王者之刃	,卢安娜的飓风	,十字镐	,狂战士胫甲	,多兰之刃	,远见改造	
2017.01.19	,2017职业联赛	,第一周	,第一场	,RNG vs IM	,IM	,IM	,IMAthena	,MID	,魔蛇之拥-卡西奥佩娅	,6	,0	,5	,295	,11	,10	,1	,13541	,16	,10	,5	,1	,17	,0	,168827	,13906	,45	,13860	,12840	,7285	,5470	,1	,0	,0	,0	,恶魔法典	,（空）	,炽天使之拥	,莫雷洛秘典	,负极斗篷	,瑞莱的冰晶节杖	,监视图腾（饰品）	
2017.01.19	,2017职业联赛	,第一周	,第一场	,RNG vs IM	,IM	,IM	,IMRoad	,SUPPORT	,河流之王-塔姆	,2	,2	,10	,42	,0	,0	,0	,8462	,34	,12	,10	,0	,12	,65	,24033	,7411	,1674	,5507	,21757	,16626	,4739	,0	,0	,0	,0	,救赎	,控制守卫	,洞察红宝石	,圣物之盾	,抗魔斗篷	,水银之靴	,神谕改造	
2017.01.19	,2017职业联赛	,第一周	,第一场	,RNG vs IM	,IM	,IM	,IMBen4	,JUNGLE	,虚空掠夺者-卡兹克	,3	,1	,6	,95	,75	,52	,23	,9648	,22	,10	,5	,1	,14	,27	,123330	,12081	,10788	,1148	,23191	,19625	,3454	,0	,0	,0	,0	,复用型药水	,附魔：战士	,（空）	,水银之靴	,紫雨林之拳	,黑色切割者	,神谕改造	
2017.01.19	,2017职业联赛	,第一周	,第二场	,RNG vs IM	,IM	,RNG	,RNGUzi	,ADC	,戏命师-烬	,7	,3	,4	,284	,19	,14	,5	,13638	,8	,8	,2	,1	,15	,59	,194190	,23130	,19636	,3089	,12758	,8188	,4447	,0	,0	,0	,0	,幽梦之灵	,多兰之刃	,轻灵之靴	,无尽之刃	,多米尼克领主的致意	,疾射火炮	,远见改造	
2017.01.19	,2017职业联赛	,第一周	,第二场	,RNG vs IM	,IM	,RNG	,RNGMlxg	,JUNGLE	,机械公敌-兰博	,1	,5	,7	,154	,112	,76	,36	,10136	,28	,5	,6	,0	,14	,123	,149419	,12435	,206	,12220	,21713	,15976	,5592	,0	,0	,0	,0	,附魔：符能回声	,探索者的护臂	,恶魔法典	,虚空之杖	,黑暗封印	,法师之靴	,神谕改造	
