英雄,位置,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,BAN,第一轮ban,第二轮ban,PICK,BAN+PICK
Draven,ADC,374.0960698686689,427.07423580748724,1427.8,6294.0,0.8498809523809524,0.8243731551244636,0.185430979623112,0.15727529423523826,4.0,3.0,6.0,1.0,0,0,0,1,1
Rengar,Jungle,315.52392269948086,345.01388150240524,1870.1698554713262,13982.676470588236,0.853055862355789,0.8433643313679434,0.16877993801933797,0.2885363019002541,2.9411764705882355,2.980392156862745,5.294117647058823,0.5098039215686274,44,38,6,51,95
Renekton,Top,395.1554576942667,387.6425099360783,3021.254166666667,14754.266666666668,0.9500456140955936,0.8907391267143718,0.19162528986522398,0.28083158840013334,2.5,2.75,4.416666666666667,0.5,12,3,9,12,24
Azir,Middle,757.2157788870351,419.6597400682771,3652.3823529411766,10069.5,1.7112839059958178,1.7488793914095488,0.44340844551288855,0.16210452890242882,5.5,2.0,5.0,0.5,0,0,0,2,2
Sivir,ADC,557.9798897573941,431.6188093559793,5100.026737967914,11871.666666666666,1.2421569195906363,1.0967849870144466,0.23581322364888466,0.1765409582480529,4.666666666666667,1.3333333333333333,4.666666666666667,0.6666666666666666,3,0,3,3,6
Ryze,Middle,375.2103430870859,380.6460106752077,4700.253709068708,8979.888888888887,0.9146596637007716,0.9662335010099568,0.2093450217270431,0.18381924842274966,1.8666666666666667,2.2666666666666666,2.8,0.4,32,21,11,15,47
Dr. Mundo,Top,381.0905269734899,346.9011968300547,4050.625,21704.5,1.046110551379562,1.355362021969185,0.3232416625865432,0.3529620774913763,0.5,2.0,2.5,0.0,0,0,0,2,2
Kog'Maw,ADC,554.9593954137812,368.3055931954827,3456.6804261098378,13084.084353741495,1.4581584887488537,1.1972390876790588,0.24584624616815903,0.18730579841862122,3.0,2.857142857142857,5.428571428571429,0.5714285714285714,4,2,2,7,11
Shen,Top,296.6209246560641,350.71000737934605,2161.3356501523167,17423.518518518522,0.8095800642878052,0.8466982707848961,0.17673822181271762,0.27058279130255614,1.2777777777777777,2.1666666666666665,4.888888888888889,0.2777777777777778,57,42,15,18,75
Viktor,Middle,589.3778290727744,374.158944654101,3274.887142857143,6273.708333333334,1.507377898204308,1.2145160347120028,0.2695773404697221,0.14683924457459327,2.9,3.3,5.4,0.3,2,0,2,10,12
