选手,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,选取英雄频次,赛区,位置,出场次数
Ziv,658.0068681883555,388.32437689485926,1492.8183229813665,16192.125,1.6394840281170608,1.334010453065494,0.2774642360768955,0.2432072978768829,6.5,2.5,12.0,1.0,Camille-1 Nautilus-1,LMS,Top,2
Hai,543.1823305381304,351.7104957772184,2756.0566666666664,3062.3,1.4512134160450396,1.1615071236606727,0.24405638722289452,0.17013758089339953,3.0,5.4,5.2,0.2,Orianna-1 Syndra-3 Zed-1,NALCS,Middle,5
Odoamne,786.7534344586466,358.20044581138234,4881.55,5131.375,2.0971305226262014,1.410538021513514,0.3175141990983597,0.28470774991294845,3.0,6.0,5.0,0.0,Camille-1 Rumble-1,EULCS,Top,2
Ian,598.8440988025067,405.22363194193235,2637.9063736263734,10633.066666666668,1.4389375413848966,1.315457804836338,0.29215699136078327,0.13376915335804557,4.2,1.0,5.6,0.8,Corki-1 Orianna-4,LCK,Middle,5
SiuSiu,405.0755939284263,334.3769012253778,6662.805555555556,5763.5,1.108312069296599,1.0931215001806784,0.24492003443808524,0.15765783799961985,2.0,3.0,3.0,0.25,LeBlanc-1 Syndra-1 Taliyah-1 Vladimir-1,LMS,Middle,4
Raise,291.8632430620853,309.5293254356919,1713.8402777777778,11150.125,0.920599460471042,0.807200371845981,0.14337736523001296,0.22924533476248576,1.5,3.0,7.0,0.5,Elise-1 Graves-1,LCK,Jungle,2
Cabochard,304.3931038099911,359.4236392798926,1596.125,19205.0,0.8233600156827837,0.8034795264892569,0.15978456721848086,0.16701081567168158,1.5,0.5,6.5,1.0,Gragas-1 Nautilus-1,EULCS,Top,2
Jay,145.39561295563055,230.79244894567944,791.7833333333333,5677.150000000001,0.5688250688216802,0.6338740143636755,0.0892647305171816,0.1700121564897441,0.25,3.0,6.0,0.5,Braum-1 Karma-1 Nami-1 Zyra-1,LMS,Support,4
Reignover,269.22205656630223,289.1631480375345,2370.2000000000003,7834.625,0.8787521014884777,0.84955640106735,0.16366850927052512,0.354463171147817,1.5,4.25,4.0,0.0,Gragas-1 Kha'zix-1 Rek'Sai-1 Rengar-1,NALCS,Jungle,4
UmTi,258.91995051896333,290.3262469201396,2327.029761904762,16481.916666666664,0.8362149444406576,0.8442715304397322,0.1553860185578106,0.268290565642752,1.25,2.5,4.5,0.25,Graves-1 Kha'zix-1 Rengar-2,LCK,Jungle,4
Altec,484.6322260473188,398.77433581515976,1843.0029942279943,5616.366666666667,1.1719442168382717,0.963952904904082,0.229947813780715,0.14966785546670103,4.4,2.6,4.8,0.2,Ashe-1 Caitlyn-2 Varus-2,NALCS,ADC,5
LOFS,170.19973368841545,325.85885486018645,1597.75,8738.25,0.5018059045226131,0.4441459115267709,0.0911905713144227,0.2833138799727653,1.0,4.0,3.0,0.0,Renekton-1,LMS,Top,1
Moon,380.47384231180297,320.4267207166714,1305.3059523809522,11961.586666666666,1.1172056310443412,0.897867859705063,0.17070812311188377,0.30945798898190074,3.0,2.8,6.2,0.2,Evelynn-1 Gragas-2 Rengar-2,NALCS,Jungle,5
Betsy,488.89762988549836,392.8931087577513,2844.1829725829725,12023.67,1.2372568107500315,1.1769834891673798,0.25253655826047017,0.21799784081595824,1.6,2.8,6.4,0.8,Ekko-1 Swain-2 Vladimir-2,EULCS,Middle,5
Republic,329.55429492718935,317.3776752126196,9141.5,5502.125,0.9520052503119695,1.0,0.2,0.2,1.0,3.0,0.0,0.0,Ryze-2,LPL,Middle,2
