选手,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,选取英雄频次,赛区,位置,出场次数
Ziv,394.83082590898493,312.26527881005376,11333.25,9791.375,1.2266137771575734,1.4210952251569133,0.28908310249165864,0.25468495908090955,0.0,3.0,1.5,0.0,Camille-1 Nautilus-1,LMS,Top,2
Hai,507.8029553040346,339.0030282297953,5422.175,5120.758333333333,1.4131143410708924,1.4042667222778777,0.31803541254215856,0.21035155528262392,1.25,4.75,2.25,0.0,Anivia-1 Orianna-1 Syndra-1 Viktor-1,NALCS,Middle,4
Matt,174.8792641644424,235.7259316868226,846.4932216905902,3642.8404761904762,0.7012619440598724,0.6424464972824409,0.09245830269571306,0.1659926133962793,0.2,5.0,9.4,0.4,Karma-2 Lulu-3,NALCS,Support,5
Ian,401.9594481832799,351.19294888724016,4401.291666666667,6038.151785714285,1.0995602231628783,1.0320317147954583,0.20994232038938854,0.16270472295766883,1.5,3.25,3.25,0.5,Corki-1 Jayce-1 Syndra-2,LCK,Middle,4
SiuSiu,252.92177394508036,336.84702362605793,3423.166666666667,4044.125,0.7285970486730182,0.8458922416463299,0.1889293498191164,0.1540981605834346,1.5,3.5,2.5,0.0,Syndra-1 Taliyah-1,LMS,Middle,2
Stitch,447.93512658263285,349.8892405066059,9436.5,5820.0,1.238223330271618,1.3527177765555634,0.27948820471811275,0.12508507361106136,0.0,3.0,2.0,0.0,Ashe-1,LCK,ADC,1
Cabochard,333.801778114661,376.9593510364257,3234.4000000000005,13880.666666666668,0.8535118446694143,0.8361509743459041,0.1817309870647198,0.24073171177828892,2.2,1.8,3.4,0.4,Kennen-1 Olaf-1 Renekton-2 Shen-1,EULCS,Top,5
Mountain,146.42826955647047,278.40694607419914,3091.25,9092.291666666668,0.48670225173499987,0.5443284067708332,0.10356089288573188,0.2993333437269177,0.5,3.5,0.5,0.0,Gragas-1 Lee Sin-1,LMS,Jungle,2
Profit,406.33033219563595,385.2583007875099,1377.8589743589744,16303.0,1.0187240105358144,0.9218231457102775,0.18709650051573265,0.18989247926977124,2.0,0.3333333333333333,9.333333333333334,1.0,Nautilus-3,LCK,Top,3
UmTi,367.13078222839,329.35233292153515,2012.2879870129868,11934.1875,1.0986570418069759,0.9810171919097095,0.19359873544303008,0.2407081482947137,3.0,2.5,5.5,0.5,Graves-3 Kha'zix-1,LCK,Jungle,4
Altec,354.94711205024134,337.01176857174096,4799.416666666666,3308.1666666666665,0.9447881453548237,0.8953237169881975,0.20579898191136317,0.13876868599506598,0.5,3.75,2.25,0.0,Jhin-1 Mordekaiser-1 Sivir-2,NALCS,ADC,4
