Name1,Name2,Win Rate,Number
Annie,Rengar,0.2631578947368421,114
Ryze,Swain,0.3220338983050847,118
Alistar,TahmKench,0.3275862068965517,116
MasterYi,Talon,0.3333333333333333,120
Darius,Katarina,0.3333333333333333,108
Ashe,Karthus,0.3333333333333333,114
Ezreal,Nasus,0.3333333333333333,162
Cassiopeia,Syndra,0.3364485981308411,214
Brand,Zed,0.33783783783783783,148
Vayne,Zyra,0.3380281690140845,142
Jinx,Pantheon,0.3389830508474576,118
Camille,Shaco,0.3392857142857143,112
Viktor,Zed,0.33974358974358976,312
Xerath,Zed,0.3442622950819672,122
Braum,Rengar,0.345679012345679,162
Viktor,Zilean,0.34615384615384615,104
Jax,Lulu,0.3492063492063492,126
Camille,TwistedFate,0.34951456310679613,206
Ashe,Bard,0.3559322033898305,118
Taliyah,Zed,0.3582089552238806,134
Azir,Graves,0.3582089552238806,134
Kennen,Nami,0.36,100
Morgana,Ryze,0.36054421768707484,294
Caitlyn,Karthus,0.36363636363636365,154
Evelynn,Ivern,0.36538461538461536,104
Jax,Katarina,0.36923076923076925,130
Kassadin,Malzahar,0.3709677419354839,124
Ashe,Shaco,0.3711340206185567,194
Azir,Thresh,0.37142857142857144,140
Diana,LeeSin,0.3717948717948718,156
Azir,Varus,0.3723404255319149,188
Braum,Orianna,0.37254901960784315,102
Azir,Jhin,0.37254901960784315,204
Jayce,Rengar,0.37272727272727274,440
Cassiopeia,Poppy,0.37349397590361444,166
Lux,Thresh,0.37349397590361444,166
Lucian,Zyra,0.3739130434782609,230
Corki,Draven,0.37410071942446044,278
Braum,Pantheon,0.375,112
Morgana,Rengar,0.375,160
Orianna,Quinn,0.37681159420289856,138
Morgana,RekSai,0.37735849056603776,106
LeeSin,Nocturne,0.37755102040816324,392
Ashe,Velkoz,0.3787878787878788,132
Nautilus,Poppy,0.3787878787878788,132
Ashe,Rengar,0.3795180722891566,332
Bard,Blitzcrank,0.3798449612403101,258
Kassadin,Nautilus,0.38,100
Poppy,Taliyah,0.38,100
Caitlyn,Ziggs,0.38095238095238093,126
Diana,Varus,0.38181818181818183,110
Orianna,RekSai,0.38271604938271603,162
Lucian,Riven,0.3829787234042553,188
Rumble,Talon,0.3838383838383838,396
Cassiopeia,Taliyah,0.38461538461538464,104
Ahri,RekSai,0.38571428571428573,140
Kled,RekSai,0.38596491228070173,114
Diana,Graves,0.38596491228070173,114
Rumble,Zac,0.38596491228070173,114
Lucian,Zilean,0.38666666666666666,150
Nautilus,Shaco,0.3870967741935484,124
Caitlyn,TahmKench,0.3870967741935484,186
Lissandra,Talon,0.3870967741935484,124
Maokai,Singed,0.3872832369942196,346
Bard,Fiora,0.3875,160
Morgana,Talon,0.3875968992248062,258
Cassiopeia,Lulu,0.3877551020408163,196
Ekko,Rengar,0.3879781420765027,366
Leona,Nami,0.3880597014925373,134
Jinx,Malzahar,0.3888888888888889,108
Ashe,Shen,0.3888888888888889,180
Alistar,Kled,0.38961038961038963,154
Kennen,Kled,0.3898305084745763,118
Ahri,Fizz,0.390625,128
Karma,Leblanc,0.39080459770114945,174
Lucian,Rengar,0.39080459770114945,348
Irelia,Lulu,0.3918918918918919,148
Jhin,XinZhao,0.39215686274509803,102
Malphite,Morgana,0.39285714285714285,112
Irelia,Janna,0.39285714285714285,112
Braum,MissFortune,0.39285714285714285,280
Khazix,Swain,0.39285714285714285,168
Fiora,Velkoz,0.39436619718309857,142
Olaf,Zed,0.39473684210526316,152
Shen,Zed,0.3949579831932773,238
Lucian,Viktor,0.3956043956043956,182
Nautilus,TahmKench,0.39655172413793105,116
Orianna,TahmKench,0.39655172413793105,116
Darius,Nautilus,0.39655172413793105,116
Syndra,TahmKench,0.3968253968253968,126
Quinn,Rumble,0.39705882352941174,136
Ashe,Singed,0.3972602739726027,146
Cassiopeia,Soraka,0.3974358974358974,156
Caitlyn,Taliyah,0.3977272727272727,176
Lucian,Malzahar,0.3986013986013986,286
Jayce,Karthus,0.4,240
MasterYi,TwistedFate,0.4,110
Vladimir,Zyra,0.4,100
Riven,Ryze,0.4,260
Elise,Twitch,0.4,270
Nami,Poppy,0.4,170
Nami,Yasuo,0.4,170
Lucian,Poppy,0.4,170
Ryze,Sona,0.4,100
Poppy,Rengar,0.4,260
Alistar,Shaco,0.4,110
Kassadin,Pantheon,0.4,100
Ahri,Vladimir,0.4,130
Camille,Thresh,0.40062111801242234,644
Nami,Talon,0.4014084507042254,284
Rengar,Soraka,0.4015748031496063,254
Alistar,Rengar,0.40186915887850466,214
KogMaw,Varus,0.40229885057471265,174
Poppy,Vayne,0.4024390243902439,164
Ezreal,Kayle,0.40271493212669685,442
Morgana,Zyra,0.4032258064516129,124
Gragas,Singed,0.40384615384615385,104
Azir,LeeSin,0.40425531914893614,188
Alistar,Talon,0.4046242774566474,346
Kled,Zyra,0.40476190476190477,168
Braum,Graves,0.40476190476190477,504
