Name1,Name2,Win Rate,Number
Ivern,RekSai,0.0,2
Annie,Garen,0.0,8
Ivern,MasterYi,0.0,2
Chogath,Quinn,0.0,6
Evelynn,Nunu,0.0,2
Kled,Udyr,0.0,2
Diana,Ziggs,0.0,2
Anivia,Kassadin,0.0,2
Gnar,Maokai,0.0,2
Alistar,Volibear,0.0,2
DrMundo,Jinx,0.0,12
Taric,Zyra,0.0,2
Camille,Yorick,0.0,2
Gangplank,Tryndamere,0.0,4
Camille,Gnar,0.0,2
Mordekaiser,Vayne,0.0,12
Nunu,Yorick,0.0,2
Heimerdinger,Nasus,0.0,2
Mordekaiser,Tryndamere,0.0,2
Bard,Zilean,0.0,2
Soraka,Yorick,0.0,2
Fiora,Renekton,0.0,4
Amumu,JarvanIV,0.0,2
Aatrox,Annie,0.0,6
Skarner,Ziggs,0.0,2
Kennen,Swain,0.0,6
MonkeyKing,Volibear,0.0,2
Leblanc,Nocturne,0.0,8
Amumu,Graves,0.0,4
Heimerdinger,Illaoi,0.0,2
Kassadin,TwistedFate,0.0,2
Lissandra,Taric,0.0,6
MonkeyKing,Vi,0.0,2
Tryndamere,Xerath,0.0,4
Amumu,Draven,0.0,8
Caitlyn,Udyr,0.0,4
Nocturne,Tryndamere,0.0,4
Veigar,Vi,0.0,2
Annie,Taliyah,0.0,14
Kled,Shyvana,0.0,2
Mordekaiser,Shyvana,0.0,4
Gnar,Olaf,0.0,2
Leblanc,Syndra,0.0,4
Aatrox,Alistar,0.0,2
Diana,Leblanc,0.0,4
Brand,Kalista,0.0,2
Orianna,Sejuani,0.0,4
KogMaw,Teemo,0.0,2
Shyvana,Syndra,0.0,8
Braum,Nunu,0.0,2
Azir,Kindred,0.0,2
Annie,KogMaw,0.0,4
Heimerdinger,Malphite,0.0,2
Singed,Tristana,0.0,12
Galio,Zyra,0.0,6
Jax,Urgot,0.0,2
Darius,Garen,0.0,2
Draven,Sivir,0.0,4
Karthus,Viktor,0.0,6
Katarina,Viktor,0.0,4
FiddleSticks,Volibear,0.0,2
AurelionSol,Teemo,0.0,4
LeeSin,Nidalee,0.0,4
