Name1,Name2,Name3,Win Rate,Number
Caitlyn,Elise,Nautilus,0.11764705882352941,102
Elise,Jayce,Katarina,0.11764705882352941,102
Katarina,LeeSin,Nami,0.15789473684210525,114
Ezreal,Renekton,Zed,0.15789473684210525,114
MissFortune,Orianna,Rumble,0.17647058823529413,102
Kennen,LeeSin,Nami,0.17647058823529413,102
Ezreal,Fiora,Zilean,0.17647058823529413,102
Elise,Trundle,Varus,0.17647058823529413,102
Blitzcrank,Elise,Kennen,0.21052631578947367,114
Ekko,Poppy,Varus,0.21052631578947367,114
Jhin,Leona,Renekton,0.21052631578947367,114
Ezreal,MissFortune,Shen,0.2222222222222222,108
Ezreal,Shen,TwistedFate,0.2222222222222222,108
Blitzcrank,Khazix,Nautilus,0.2222222222222222,108
Lucian,Maokai,Rengar,0.2222222222222222,108
Kennen,Syndra,Varus,0.2222222222222222,108
Caitlyn,Katarina,Thresh,0.22727272727272727,132
Kennen,MissFortune,Varus,0.22857142857142856,210
LeeSin,Poppy,Viktor,0.23076923076923078,156
Ezreal,Orianna,Shen,0.23529411764705882,102
Elise,Nami,Vayne,0.23529411764705882,102
Cassiopeia,Gangplank,Thresh,0.23529411764705882,102
Fizz,Khazix,MissFortune,0.23529411764705882,102
Diana,Ezreal,LeeSin,0.23529411764705882,102
Cassiopeia,Gragas,Varus,0.23529411764705882,102
Elise,Lucian,Malzahar,0.23529411764705882,102
Kennen,RekSai,Varus,0.23529411764705882,102
Camille,Khazix,Zyra,0.23529411764705882,102
Caitlyn,Corki,Soraka,0.23809523809523808,126
Ezreal,Rumble,TwistedFate,0.23809523809523808,126
Graves,Morgana,Zed,0.23809523809523808,126
Graves,Karma,Shen,0.24,150
Ashe,Ekko,MissFortune,0.24,150
Ezreal,MissFortune,Pantheon,0.2413793103448276,174
Alistar,Ezreal,Yasuo,0.25,120
Graves,Lucian,Syndra,0.25,120
Bard,Caitlyn,LeeSin,0.25,120
Ezreal,Maokai,Taliyah,0.25,120
Elise,Ryze,Sivir,0.25,144
Caitlyn,Camille,Elise,0.25,120
Ezreal,Shen,Syndra,0.25,120
LeeSin,Rumble,Syndra,0.25,120
Alistar,LeeSin,Lucian,0.25,120
LeeSin,Lissandra,MissFortune,0.25,120
Corki,Elise,Leona,0.25806451612903225,186
Fiora,Katarina,LeeSin,0.25925925925925924,162
Alistar,Jhin,RekSai,0.2608695652173913,138
Blitzcrank,Corki,Hecarim,0.2631578947368421,114
Graves,Lucian,Orianna,0.2631578947368421,114
LeeSin,MissFortune,Vayne,0.2631578947368421,114
Gangplank,Graves,Nami,0.2631578947368421,114
Ezreal,Nami,Orianna,0.2631578947368421,114
Graves,Malphite,Ryze,0.2631578947368421,114
Ezreal,MissFortune,Singed,0.2631578947368421,114
Ashe,MissFortune,Orianna,0.2631578947368421,114
MissFortune,Varus,Viktor,0.2647058823529412,204
Fiora,MissFortune,Zed,0.26666666666666666,180
Gangplank,Jhin,Viktor,0.2692307692307692,156
LeeSin,Sivir,Yasuo,0.2727272727272727,132
Ekko,LeeSin,Poppy,0.2727272727272727,132
Ezreal,Karma,Zac,0.2727272727272727,132
Leona,Ryze,Varus,0.2727272727272727,132
Cassiopeia,Elise,Jayce,0.2727272727272727,132
Ezreal,Nami,Rumble,0.2727272727272727,132
Kassadin,Khazix,Thresh,0.275,240
Ezreal,Jax,Khazix,0.27586206896551724,174
Ekko,Ezreal,MissFortune,0.2765957446808511,282
Kennen,Orianna,Varus,0.2777777777777778,108
Akali,Jhin,Malzahar,0.2777777777777778,108
Lucian,RekSai,Thresh,0.2777777777777778,108
Jax,Khazix,MissFortune,0.2777777777777778,108
Ashe,LeeSin,Riven,0.2777777777777778,108
Ashe,Karma,Zed,0.2777777777777778,108
Jhin,Rumble,Shaco,0.2777777777777778,108
Akali,LeeSin,Lucian,0.2777777777777778,108
LeeSin,Nautilus,Yasuo,0.2777777777777778,108
Fiora,Graves,Nami,0.2777777777777778,108
Fiora,Varus,Viktor,0.2777777777777778,108
Elise,Maokai,Syndra,0.28,150
Gangplank,Graves,Zed,0.28,150
Khazix,Maokai,Velkoz,0.28,150
LeeSin,Maokai,Xerath,0.28,150
Corki,Darius,MissFortune,0.28,150
Maokai,Varus,Viktor,0.28125,192
Karma,Maokai,Orianna,0.28205128205128205,234
Corki,Ezreal,Velkoz,0.2857142857142857,126
Khazix,MissFortune,Sivir,0.2857142857142857,126
Braum,Corki,Maokai,0.2857142857142857,126
Jhin,Taliyah,Zyra,0.2857142857142857,126
Gangplank,LeeSin,Leona,0.2857142857142857,126
Elise,Varus,Zilean,0.2857142857142857,168
Ashe,Khazix,TwistedFate,0.2857142857142857,126
Jhin,Lissandra,MissFortune,0.2857142857142857,126
Cassiopeia,Ezreal,Jayce,0.2857142857142857,126
Ezreal,MissFortune,Syndra,0.2903225806451613,186
Ezreal,Khazix,Shen,0.2909090909090909,330
Camille,Elise,Talon,0.2916666666666667,144
Jhin,Katarina,Nautilus,0.2916666666666667,144
Janna,LeeSin,Ryze,0.2926829268292683,246
Ezreal,Nautilus,Rumble,0.29411764705882354,102
Karma,Khazix,Malphite,0.29411764705882354,102
Elise,Taliyah,Varus,0.29411764705882354,204
Ashe,Elise,Pantheon,0.29411764705882354,102
Camille,Ezreal,Talon,0.29411764705882354,102
Elise,Nautilus,Ryze,0.29411764705882354,102
Cassiopeia,Jhin,Lulu,0.29411764705882354,102
Ekko,LeeSin,Yasuo,0.29411764705882354,102
Graves,Riven,TwistedFate,0.29411764705882354,102
Malzahar,Rumble,Zed,0.29411764705882354,102
LeeSin,Lulu,Poppy,0.29411764705882354,102
Ashe,Karma,TwistedFate,0.29411764705882354,102
Jhin,Rengar,Taliyah,0.29411764705882354,102
Elise,Fiora,Viktor,0.29411764705882354,102
Ashe,Katarina,Khazix,0.29411764705882354,102
Khazix,Nami,Poppy,0.29411764705882354,102
Jhin,Kennen,Rengar,0.29411764705882354,204
LeeSin,Thresh,Viktor,0.2948717948717949,468
Malzahar,Syndra,Varus,0.2962962962962963,162
Ashe,Ekko,Khazix,0.2972972972972973,222
Alistar,Elise,Ezreal,0.2978723404255319,282
Ahri,Graves,Nami,0.3,120
Ezreal,Hecarim,Karma,0.3,120
Jhin,Karma,Nautilus,0.3,180
Hecarim,Maokai,Varus,0.3,120
Kennen,LeeSin,Lucian,0.3,120
MissFortune,Taliyah,Varus,0.3,120
LeeSin,Lulu,MissFortune,0.3,180
Corki,Nautilus,Thresh,0.3,180
LeeSin,Renekton,Zed,0.3,120
Cassiopeia,Maokai,MissFortune,0.3,180
Blitzcrank,Evelynn,Gangplank,0.3,120
Gragas,Graves,Zed,0.3,120
Ashe,Ekko,Karma,0.3,120
Corki,Olaf,Thresh,0.3,120
Ashe,Cassiopeia,Thresh,0.3,120
Ahri,Ezreal,Gangplank,0.3,120
Malzahar,Singed,Varus,0.30434782608695654,138
